"entity_id","attribute_id","type_id"
"14144","96","simple"
"14162","96","simple"
"14166","96","simple"
"14171","96","simple"
"14173","96","simple"
"14174","96","simple"
"14178","96","simple"
"14188","96","simple"
"14189","96","simple"
"14190","96","simple"
"14191","96","simple"
"14192","96","simple"
"14209","96","simple"
"14211","96","simple"
"14212","96","simple"
"14214","96","simple"
"14215","96","simple"
"14227","96","simple"
"14230","96","simple"
"14233","96","simple"
"14238","96","simple"
"14243","96","simple"
"14251","96","simple"
"14258","96","simple"
"14260","96","simple"
"14262","96","simple"
"14263","96","simple"
"14264","96","simple"
"14266","96","simple"
"14268","96","simple"
"14270","96","simple"
"14271","96","simple"
"14273","96","simple"
"14274","96","simple"
"14288","96","simple"
"14289","96","simple"
"14293","96","simple"
"14295","96","simple"
"14296","96","simple"
"14304","96","simple"
"14306","96","simple"
"14307","96","simple"
"14308","96","simple"
"14309","96","simple"
"14310","96","simple"
"14312","96","simple"
"14313","96","simple"
"14314","96","simple"
"14316","96","simple"
"14317","96","simple"
"14319","96","simple"
"14320","96","simple"
"14322","96","simple"
"14323","96","simple"
"14351","96","simple"
"14353","96","simple"
"14354","96","simple"
"14355","96","simple"
"14356","96","simple"
"14365","96","simple"
"14367","96","simple"
"14368","96","simple"
"14369","96","simple"
"14371","96","simple"
"14372","96","simple"
"14374","96","simple"
"14375","96","simple"
"14377","96","simple"
"14378","96","simple"
"14389","96","simple"
"14392","96","simple"
"14394","96","simple"
"14396","96","simple"
"14401","96","simple"
"14404","96","simple"
"14422","96","simple"
"14428","96","simple"
"14434","96","simple"
"14435","96","simple"
"14436","96","simple"
"14437","96","simple"
"14438","96","simple"
"14440","96","simple"
"14441","96","simple"
"14455","96","simple"
"14456","96","simple"
"14458","96","simple"
"14459","96","simple"
"14460","96","simple"
"14461","96","simple"
"14462","96","simple"
"14467","96","simple"
"14469","96","simple"
"14470","96","simple"
"14471","96","simple"
"14472","96","simple"
"14474","96","simple"
"14477","96","simple"
"14479","96","simple"
"14480","96","simple"
"14481","96","simple"
"14483","96","simple"
"14486","96","simple"
"14487","96","simple"
"14493","96","simple"
"14494","96","simple"
"14495","96","simple"
"14496","96","simple"
"14498","96","simple"
"14500","96","simple"
"14512","96","simple"
"14516","96","simple"
"14528","96","simple"
"14530","96","simple"
"14531","96","simple"
"14536","96","simple"
"14537","96","simple"
"14538","96","simple"
"14545","96","simple"
"14550","96","simple"
"14551","96","simple"
"14552","96","simple"
"14554","96","simple"
"14556","96","simple"
"14557","96","simple"
"14558","96","simple"
"14559","96","simple"
"14560","96","simple"
"14572","96","simple"
"14573","96","simple"
"14575","96","simple"
"14576","96","simple"
"14578","96","simple"
"14581","96","simple"
"14582","96","simple"
"14584","96","simple"
"14585","96","simple"
"14586","96","simple"
"14589","96","simple"
"14590","96","simple"
"14592","96","simple"
"14593","96","simple"
"14595","96","simple"
"14596","96","simple"
"14599","96","simple"
"14605","96","simple"
"14620","96","simple"
"14623","96","simple"
"14625","96","simple"
"14627","96","simple"
"14628","96","simple"
"14630","96","simple"
"14632","96","simple"
"14635","96","simple"
"14638","96","simple"
"14642","96","simple"
"14645","96","simple"
"14648","96","simple"
"14651","96","simple"
"14695","96","simple"
"14710","96","simple"
"14728","96","simple"
"14736","96","simple"
"14737","96","simple"
"14748","96","simple"
"14749","96","simple"
"14753","96","simple"
"14762","96","simple"
"14763","96","simple"
"14768","96","simple"
"14769","96","simple"
"14771","96","simple"
"14773","96","simple"
"14776","96","simple"
"14797","96","simple"
"14800","96","simple"
"14802","96","simple"
"14805","96","simple"
"14806","96","simple"
"14811","96","simple"
"14826","96","simple"
"14827","96","simple"
"14837","96","simple"
"14839","96","simple"
"14842","96","simple"
"14845","96","simple"
"14848","96","simple"
"14851","96","simple"
"14856","96","simple"
"14859","96","simple"
"14862","96","simple"
"14864","96","simple"
"14882","96","simple"
"14887","96","simple"
"14888","96","simple"
"14889","96","simple"
"14909","96","simple"
"14912","96","simple"
"14918","96","simple"
"14919","96","simple"
"14920","96","simple"
"14921","96","simple"
"14922","96","simple"
"14923","96","simple"
"14925","96","simple"
"14927","96","simple"
"14929","96","simple"
"14953","96","simple"
"14954","96","simple"
"14960","96","simple"
"14961","96","simple"
"14962","96","simple"
"14963","96","simple"
"14964","96","simple"
"14966","96","simple"
"14972","96","simple"
"14973","96","simple"
"14977","96","simple"
"14978","96","simple"
"14979","96","simple"
"14981","96","simple"
"14983","96","simple"
"14985","96","simple"
"14987","96","simple"
"14989","96","simple"
"14992","96","simple"
"14995","96","simple"
"14996","96","simple"
"14997","96","simple"
"14999","96","simple"
"15000","96","simple"
"15002","96","simple"
"15006","96","simple"
"15013","96","simple"
"15025","96","simple"
"15030","96","simple"
"15031","96","simple"
"15032","96","simple"
"15040","96","simple"
"15049","96","simple"
"15050","96","simple"
"15051","96","simple"
"15052","96","simple"
"15067","96","simple"
"15069","96","simple"
"15075","96","simple"
"15084","96","simple"
"15086","96","simple"
"15087","96","simple"
"15088","96","simple"
"15089","96","simple"
"15090","96","simple"
"15091","96","simple"
"15092","96","simple"
"15093","96","simple"
"15094","96","simple"
"15096","96","simple"
"15098","96","simple"
"15100","96","simple"
"15102","96","simple"
"15104","96","simple"
"15115","96","simple"
"15116","96","simple"
"15117","96","simple"
"15118","96","simple"
"15119","96","simple"
"15121","96","simple"
"15130","96","simple"
"15131","96","simple"
"15132","96","simple"
"15133","96","simple"
"15135","96","simple"
"15136","96","simple"
"15146","96","simple"
"15148","96","simple"
"15156","96","simple"
"15158","96","simple"
"15160","96","simple"
"15166","96","simple"
"15167","96","simple"
"15168","96","simple"
"15172","96","simple"
"15174","96","simple"
"15177","96","simple"
"15178","96","simple"
"15180","96","simple"
"15190","96","simple"
"15196","96","simple"
"15198","96","simple"
"15206","96","simple"
"15213","96","simple"
"15215","96","simple"
"15216","96","simple"
"15217","96","simple"
"15218","96","simple"
"15219","96","simple"
"15224","96","simple"
"15226","96","simple"
"15227","96","simple"
"15228","96","simple"
"15230","96","simple"
"15236","96","simple"
"15237","96","simple"
"15238","96","simple"
"15239","96","simple"
"15240","96","simple"
"15242","96","simple"
"15252","96","simple"
"15253","96","simple"
"15254","96","simple"
"15262","96","simple"
"15263","96","simple"
"15267","96","simple"
"15268","96","simple"
"15269","96","simple"
"15275","96","simple"
"15283","96","simple"
"15285","96","simple"
"15291","96","simple"
"15293","96","simple"
"15295","96","simple"
"15297","96","simple"
"15298","96","simple"
"15299","96","simple"
"15301","96","simple"
"15310","96","simple"
"15313","96","simple"
"15315","96","simple"
"15317","96","simple"
"15318","96","simple"
"15319","96","simple"
"15320","96","simple"
"15322","96","simple"
"15324","96","simple"
"15333","96","simple"
"15334","96","simple"
"15336","96","simple"
"15341","96","simple"
"15343","96","simple"
"15344","96","simple"
"15346","96","simple"
"15349","96","simple"
"15358","96","simple"
"15365","96","simple"
"15370","96","simple"
"15372","96","simple"
"15379","96","simple"
"15385","96","simple"
"15389","96","simple"
"15391","96","simple"
"15392","96","simple"
"15399","96","simple"
"15407","96","simple"
"15408","96","simple"
"15416","96","simple"
"15419","96","simple"
"15422","96","simple"
"15423","96","simple"
"15428","96","simple"
"15429","96","simple"
"15432","96","simple"
"15434","96","simple"
"15439","96","simple"
"15441","96","simple"
"15457","96","simple"
"15461","96","simple"
"15466","96","simple"
"15467","96","simple"
"15474","96","simple"
"15475","96","simple"
"15484","96","simple"
"15490","96","simple"
"15491","96","simple"
"15498","96","simple"
"15505","96","simple"
"15507","96","simple"
"15511","96","simple"
"15513","96","simple"
"15515","96","simple"
"15517","96","simple"
"15519","96","simple"
"15520","96","simple"
"15522","96","simple"
"15523","96","simple"
"15524","96","simple"
"15529","96","simple"
"15547","96","simple"
"15552","96","simple"
"15555","96","simple"
"15556","96","simple"
"15558","96","simple"
"15560","96","simple"
"15563","96","simple"
"15566","96","simple"
"15567","96","simple"
"15569","96","simple"
"15570","96","simple"
"15571","96","simple"
"15573","96","simple"
"15581","96","simple"
"15586","96","simple"
"15595","96","simple"
"15596","96","simple"
"15597","96","simple"
"15599","96","simple"
"15602","96","simple"
"15603","96","simple"
"15604","96","simple"
"15613","96","simple"
"15614","96","simple"
"15617","96","simple"
"15618","96","simple"
"15619","96","simple"
"15621","96","simple"
"15623","96","simple"
"15624","96","simple"
"15625","96","simple"
"15633","96","simple"
"15635","96","simple"
"15642","96","simple"
"15643","96","simple"
"15644","96","simple"
"15645","96","simple"
"15646","96","simple"
"15647","96","simple"
"15648","96","simple"
"15649","96","simple"
"15650","96","simple"
"15662","96","simple"
"15664","96","simple"
"15674","96","simple"
"15676","96","simple"
"15678","96","simple"
"15679","96","simple"
"15680","96","simple"
"15684","96","simple"
"15685","96","simple"
"15687","96","simple"
"15688","96","simple"
"15693","96","simple"
"15701","96","simple"
"15706","96","simple"
"15712","96","simple"
"15717","96","simple"
"15719","96","simple"
"15725","96","simple"
"15726","96","simple"
"15731","96","simple"
"15736","96","simple"
"15742","96","simple"
"15748","96","simple"
"15750","96","simple"
"15758","96","simple"
"15767","96","simple"
"15775","96","simple"
"15778","96","simple"
"15779","96","simple"
"15780","96","simple"
"15781","96","simple"
"15782","96","simple"
"15791","96","simple"
"15793","96","simple"
"15794","96","simple"
"15804","96","simple"
"15805","96","simple"
"15810","96","simple"
"15813","96","simple"
"15814","96","simple"
"15820","96","simple"
"15822","96","simple"
"15825","96","simple"
"15837","96","simple"
"15839","96","simple"
"15840","96","simple"
"15841","96","simple"
"15843","96","simple"
"15845","96","simple"
"15847","96","simple"
"15850","96","simple"
"15851","96","simple"
"15853","96","simple"
"15856","96","simple"
"15858","96","simple"
"15860","96","simple"
"15862","96","simple"
"15867","96","simple"
"15872","96","simple"
"15878","96","simple"
"15889","96","simple"
"15895","96","simple"
"15897","96","simple"
"15898","96","simple"
"15899","96","simple"
"15900","96","simple"
"15902","96","simple"
"15904","96","simple"
"15905","96","simple"
"15906","96","simple"
"15907","96","simple"
"15915","96","simple"
"15916","96","simple"
"15918","96","simple"
"15921","96","simple"
"15922","96","simple"
"15923","96","simple"
"15924","96","simple"
"15925","96","simple"
"15927","96","simple"
"15928","96","simple"
"15929","96","simple"
"15930","96","simple"
"15936","96","simple"
"15937","96","simple"
"15939","96","simple"
"15944","96","simple"
"15959","96","simple"
"15970","96","simple"
"15974","96","simple"
"15975","96","simple"
"15977","96","simple"
"15978","96","simple"
"15979","96","simple"
"15980","96","simple"
"15981","96","simple"
"15982","96","simple"
"15984","96","simple"
"15986","96","simple"
"15995","96","simple"
"15996","96","simple"
"15997","96","simple"
"15998","96","simple"
"15999","96","simple"
"16003","96","simple"
"16005","96","simple"
"16006","96","simple"
"16007","96","simple"
"16009","96","simple"
"16014","96","simple"
"16019","96","simple"
"16022","96","simple"
"16024","96","simple"
"16026","96","simple"
"16027","96","simple"
"16028","96","simple"
"16035","96","simple"
"16037","96","simple"
"16038","96","simple"
"16039","96","simple"
"16043","96","simple"
"16044","96","simple"
"16048","96","simple"
"16051","96","simple"
"16060","96","simple"
"16063","96","simple"
"16064","96","simple"
"16065","96","simple"
"16090","96","simple"
"16101","96","simple"
"16108","96","simple"
"16110","96","simple"
"16111","96","simple"
"16112","96","simple"
"16116","96","simple"
"16119","96","simple"
"16120","96","simple"
"16122","96","simple"
"16123","96","simple"
"16133","96","simple"
"16137","96","simple"
"16140","96","simple"
"16143","96","simple"
"16145","96","simple"
"16149","96","simple"
"16154","96","simple"
"16158","96","simple"
"16159","96","simple"
"16160","96","simple"
"16161","96","simple"
"16163","96","simple"
"16168","96","simple"
"16171","96","simple"
"16173","96","simple"
"16174","96","simple"
"16176","96","simple"
"16184","96","simple"
"16188","96","simple"
"16193","96","simple"
"16196","96","simple"
"16198","96","simple"
"16199","96","simple"
"16202","96","simple"
"16204","96","simple"
"16217","96","simple"
"16220","96","simple"
"16226","96","simple"
"16227","96","simple"
"16236","96","simple"
"16237","96","simple"
"16244","96","simple"
"16245","96","simple"
"16248","96","simple"
"16267","96","simple"
"16268","96","simple"
"16269","96","simple"
"16277","96","simple"
"16285","96","simple"
"16286","96","simple"
"16289","96","simple"
"16297","96","simple"
"16307","96","simple"
"16308","96","simple"
"16309","96","simple"
"16310","96","simple"
"16311","96","simple"
"16312","96","simple"
"16313","96","simple"
"16314","96","simple"
"16315","96","simple"
"16316","96","simple"
"16317","96","simple"
"16319","96","simple"
"16321","96","simple"
"16322","96","simple"
"16331","96","simple"
"16334","96","simple"
"16342","96","simple"
"16343","96","simple"
"16360","96","simple"
"16363","96","simple"
"16365","96","simple"
"16366","96","simple"
"16369","96","simple"
"16371","96","simple"
"16372","96","simple"
"16375","96","simple"
"16377","96","simple"
"16399","96","simple"
"16400","96","simple"
"16402","96","simple"
"16404","96","simple"
"16409","96","simple"
"16412","96","simple"
"16413","96","simple"
"16415","96","simple"
"16416","96","simple"
"16417","96","simple"
"16418","96","simple"
"16429","96","simple"
"16435","96","simple"
"16436","96","simple"
"16441","96","simple"
"16444","96","simple"
"16445","96","simple"
"16461","96","simple"
"16467","96","simple"
"16468","96","simple"
"16469","96","simple"
"16478","96","simple"
"16499","96","simple"
"16500","96","simple"
"16501","96","simple"
"16502","96","simple"
"16510","96","simple"
"16523","96","simple"
"16527","96","simple"
"16529","96","simple"
"16531","96","simple"
"16533","96","simple"
"16535","96","simple"
"16537","96","simple"
"16539","96","simple"
"16541","96","simple"
"16545","96","simple"
"16547","96","simple"
"16548","96","simple"
"16566","96","simple"
"16584","96","simple"
"16598","96","simple"
"16601","96","simple"
"16609","96","simple"
"16611","96","simple"
"16613","96","simple"
"16616","96","simple"
"16620","96","simple"
"16622","96","simple"
"16624","96","simple"
"16626","96","simple"
"16627","96","simple"
"16636","96","simple"
"16642","96","simple"
"16645","96","simple"
"16646","96","simple"
"16647","96","simple"
"16648","96","simple"
"16649","96","simple"
"16650","96","simple"
"16651","96","simple"
"16652","96","simple"
"16653","96","simple"
"16654","96","simple"
"16655","96","simple"
"16656","96","simple"
"16657","96","simple"
"16658","96","simple"
"16659","96","simple"
"16660","96","simple"
"16661","96","simple"
"16662","96","simple"
"16664","96","simple"
"16668","96","simple"
"16669","96","simple"
"16670","96","simple"
"16679","96","simple"
"16681","96","simple"
"16683","96","simple"
"16688","96","simple"
"16695","96","simple"
"16696","96","simple"
"16697","96","simple"
"16698","96","simple"
"16702","96","simple"
"16708","96","simple"
"16712","96","simple"
"16713","96","simple"
"16720","96","simple"
"16721","96","simple"
"16722","96","simple"
"16729","96","simple"
"16731","96","simple"
"16732","96","simple"
"16748","96","simple"
"16751","96","simple"
"16765","96","simple"
"16768","96","simple"
"16775","96","simple"
"16776","96","simple"
"16778","96","simple"
"16779","96","simple"
"16789","96","simple"
"16792","96","simple"
"16793","96","simple"
"16796","96","simple"
"16804","96","simple"
"16807","96","simple"
"16813","96","simple"
"16818","96","simple"
"16823","96","simple"
"16838","96","simple"
"16841","96","simple"
"16849","96","simple"
"16850","96","simple"
"16851","96","simple"
"16852","96","simple"
"16853","96","simple"
"16854","96","simple"
"16855","96","simple"
"16856","96","simple"
"16858","96","simple"
"16863","96","simple"
"16868","96","simple"
"16869","96","simple"
"16871","96","simple"
"16872","96","simple"
"16884","96","simple"
"16888","96","simple"
"16889","96","simple"
"16894","96","simple"
"16895","96","simple"
"16896","96","simple"
"16899","96","simple"
"16905","96","simple"
"16909","96","simple"
"16910","96","simple"
"16911","96","simple"
"16913","96","simple"
"16918","96","simple"
"16931","96","simple"
"16934","96","simple"
"16936","96","simple"
"16945","96","simple"
"16947","96","simple"
"16948","96","simple"
"16951","96","simple"
"16954","96","simple"
"16956","96","simple"
"16958","96","simple"
"16960","96","simple"
"16972","96","simple"
"16976","96","simple"
"16980","96","simple"
"16984","96","simple"
