4lb
ae
arg
b/l
bat/blk
bbw
bk/bl/rd
bk/gph
bk/r
bk/slv
bkbl
bkblwh
bknvy
bkny
bkop
bkpk
bkrdwh
bkry
bkwbk
blgr
blk
blk/blu
blk/brn
blk/gd/wh
blk/gph
blk/gra
blk/wht/psh
blk/wht/tpk
blkor
blu
bsl
buff
bwg
card
chc/ryl
cop
desert
dg/gld
divawh
em/csp/ch/eml
exo/srb
fra
france
ftg
gflame
gry
gyrd
hunt grn
hyg/gph
ice-blu
jets
k9
kan
mdh/gph/wh
mdn/gph
mir
navy red
neop/exb/aft/prd
nlk
nvwhrd
nvy
nvyrd
nvywh
nwg
obswh
pickle
pink
pka/blk
psh/aub/ptn
pur/gold
rad/stl
rainbow
rd/alu
rd/nv/wh
rdblk
rdnvwh
rdsl
rlo
royrd
ryl/bk
sil rd
silbrn
silrd
slv flame
sp
splat/bruins
splatter
stealth
vby
vrb
vrr
wbb
wh/nv
wh/op
wh/pk
wh/rd
whbkbl
whbkrd
whblnv
whgrsl
wht/avi
whwh
wln
wny
wry
xray/eblu/l/wh
yell
