1
1.5
2.5
3
3.5
4
4.5
5
5.5
6
7
8
8.5
9
9.5
10
11
11.75
12
13
14
15
16
72
84
96
108
120
130
304
0.5mm
1.1mm
1.8mm
"10 1/2"""
"10 1/4"""
"10.00"""
"10.5"""
"10.50"""
"10.75"""
"10"""
"10"" bkwh"
"10"" nvwh"
"10"" rdwh"
"106"""
"108"""
"11 1/2"""
"11.00"""
"11.25"""
"11.25"" ar"
"11.25"" jd"
"11.5"""
"11.5"" fl"
"11.5"" jh"
"11.5"" kb"
"11.5"" tt"
"11.50"""
"11.75"""
"11.75"" dp"
"11"""
"11"" bkwh"
"11"" nvwh"
"11"" rdwh"
12 1/2
"12.00"""
"12.25"""
"12.5"""
"12.5"" fs"
"12.50"""
"12.75"""
"12"""
"12"" bkwh"
"12"" fs"
"12"" nvwh"
"12"" rdwh"
"120"""
13 1/2
"13.00"""
"13.5"""
"13.50"""
"13"""
"13"" h"
"130"""
"14.00"""
"14.5"""
"14"""
"15"""
"16.5"""
"16"""
"17.5"""
"17"""
"18"""
"20"""
"21"""
"21"" lal"
"21""lecl"
"22"""
"23.5"""
"23"""
24 / 12
"24"" bro"
"24"" lal"
"24"" lec"
"24"" p31"
"24"" thi"
"25"""
"25"" lecl"
"25"" p31"
"25"" pp41"
"25"" tur"
"25""lecl"
"25""p30"
"25""thi"
"26 1/4"""
"26.5"""
"26"""
"26"" p33"
"26"" pp41"
"26"" tur"
"27.5"""
"27"""
28 / 20
"28 oz / 31"""
"28"""
28/18
"29"""
29/19
2e2.5
2xl
2xlg
"30"""
30/20
31 / 26
"31"""
31/21
"32.5"""
"32"""
32/22
"33.5"""
"33"""
33/23
33/24
"34"""
"34""-38"""
34/24
34/25
"35"""
"35+1"""
"36 + 1.5"""
"36.5"""
"36"""
"37.5"""
"37"""
"38"""
"38""-44"""
3xl
"4"""
"40"""
"42"""
"46"""
"47"""
"48"""
"5"""
"51"""
"54"""
"6 (40-44"")"
"6"""
"7.5"""
"7"""
"72"""
"78"""
"8 1/2"""
"8 1/4"""
"8 3/4"""
"8"""
"84"""
"9 1/2"""
"9 1/4"""
"9 3/4"""
"9.5"""
"9"""
"96"""
a2xl
al
amgc
j
jr
l
"l 25"""
"l 26"""
"l 27"""
lg
"lg (13"")"
"lg 30"""
lt
m
m**
md
"md (12"")"
menl
menm
mens
menxs
os
"r 25"""
"r 26"""
"r 27"""
rht
s
"s-p"""
s/m
sm
sm/ml
sr
wheelset
wl
wm
ws
wxl
wxs
wxxl
xl
xlg
xs
"xs (8"")"
xxl
xxlg
xxs
yl
ym
ys
yxl
