id,title,description,link,condition,price,availability,image link,gtin,mpn,brand,product type,google product category,shipping
66,Earthen Clay Plate & Tumbler Set,"<p><strong>Product Description:</strong></p>
<p>1 Plate - 8 inches width</p>
<p>1 Tumbler - 2.75 inches Height.</p>",https://www.ulamart.com/clay-plate-and-tumbler,New,INR 333,Out of Stock,https://ulamart.com/pub/media/catalog/product/c/l/clay-plate-and-tumbler.jpg,,,Ulamart,simple,,IN:::0 INR
155,3 inch Clay Pot With Lid - Pack of 4| Storage Pot,"Cleaning instructions:
 For the first use, soak the product in water for 24hrs.
 For regular usage, clean with hot water & brush. No chemical washing products are required.
 Use rock salt and scrub pad & soak in hot water for half an hour, to clean stubborn stains.
 Make use of baking soda to remove absorbed odors of garlic, onion etc.",https://www.ulamart.com/small-size-clay-pot-with-lid,New,INR 423,Out of Stock,https://ulamart.com/pub/media/catalog/product/2/2/22-min.png,,,Ulamart,simple,,IN:::0 INR
206,Thooyamalli -Organic Rice - Kg : 0.5,,https://www.ulamart.com/thooyamalli-organic-rice-kg-0-5,New,INR 66,In Stock,,,,Ulamart,simple,,IN:::0 INR
207,Thooyamalli -Organic Rice - Kg : 1,,https://www.ulamart.com/thooyamalli-organic-rice-kg-1,New,INR 110,In Stock,,,,Ulamart,simple,,IN:::0 INR
208,Thooyamalli -Organic Rice - Kg : 2,,https://www.ulamart.com/thooyamalli-organic-rice-kg-2,New,INR 217,In Stock,,,,Ulamart,simple,,IN:::0 INR
209,Thooyamalli -Organic Rice - Kg : 5,,https://www.ulamart.com/thooyamalli-organic-rice-kg-5,New,INR 530,In Stock,,,,Ulamart,simple,,IN:::0 INR
210,Thooyamalli -Organic Rice - Kg : 25,,https://www.ulamart.com/thooyamalli-organic-rice-kg-25,New,INR 2575,In Stock,,,,Ulamart,simple,,IN:::0 INR
211,Kichili Samba Organic Rice - Kg : 0.5,,https://www.ulamart.com/kichili-samba-organic-rice-kg-0-5,New,INR 66,In Stock,,,,Ulamart,simple,,IN:::0 INR
212,Kichili Samba Organic Rice - Kg : 1,,https://www.ulamart.com/kichili-samba-organic-rice-kg-1,New,INR 110,In Stock,,,,Ulamart,simple,,IN:::0 INR
213,Kichili Samba Organic Rice - Kg : 2,,https://www.ulamart.com/kichili-samba-organic-rice-kg-2,New,INR 217,In Stock,,,,Ulamart,simple,,IN:::0 INR
214,Kichili Samba Organic Rice - Kg : 5,,https://www.ulamart.com/kichili-samba-organic-rice-kg-5,New,INR 528,In Stock,,,,Ulamart,simple,,IN:::0 INR
215,Kichili Samba Organic Rice - Kg : 25,,https://www.ulamart.com/kichili-samba-organic-rice-kg-25,New,INR 2575,In Stock,,,,Ulamart,simple,,IN:::0 INR
216,Seeraga Samba Organic Rice - Kg : 0.5,,https://www.ulamart.com/seeraga-samba-organic-rice-kg-0-5,New,INR 98,In Stock,,,,Ulamart,simple,,IN:::0 INR
217,Seeraga Samba Organic Rice - Kg : 1,,https://www.ulamart.com/seeraga-samba-organic-rice-kg-1,New,INR 165,In Stock,,,,Ulamart,simple,,IN:::0 INR
218,Seeraga Samba Organic Rice - Kg : 2,,https://www.ulamart.com/seeraga-samba-organic-rice-kg-2,New,INR 328,In Stock,,,,Ulamart,simple,,IN:::0 INR
219,Seeraga Samba Organic Rice - Kg : 5,,https://www.ulamart.com/seeraga-samba-organic-rice-kg-5,New,INR 800,In Stock,,,,Ulamart,simple,,IN:::0 INR
220,Seeraga Samba Organic Rice - Kg : 25,,https://www.ulamart.com/seeraga-samba-organic-rice-kg-25,New,INR 3900,In Stock,,,,Ulamart,simple,,IN:::0 INR
221,Red Rice / Sivappu Kavuni Organic Unpolished Rice - Kg : 0.5,,https://www.ulamart.com/red-rice-sivappu-kavuni-organic-unpolished-rice-kg-0-5,New,INR 76,In Stock,,,,Ulamart,simple,,IN:::0 INR
222,Red Rice / Sivappu Kavuni Organic Unpolished Rice - Kg : 1,,https://www.ulamart.com/red-rice-sivappu-kavuni-organic-unpolished-rice-kg-1,New,INR 105,In Stock,,,,Ulamart,simple,,IN:::0 INR
223,Red Rice / Sivappu Kavuni Organic Unpolished Rice - Kg : 2,,https://www.ulamart.com/red-rice-sivappu-kavuni-organic-unpolished-rice-kg-2,New,INR 208,In Stock,,,,Ulamart,simple,,IN:::0 INR
224,Red Rice / Sivappu Kavuni Organic Unpolished Rice - Kg : 5,,https://www.ulamart.com/red-rice-sivappu-kavuni-organic-unpolished-rice-kg-5,New,INR 515,In Stock,,,,Ulamart,simple,,IN:::0 INR
225,Red Rice / Sivappu Kavuni Organic Unpolished Rice - Kg : 25,,https://www.ulamart.com/red-rice-sivappu-kavuni-organic-unpolished-rice-kg-25,New,INR 2600,In Stock,,,,Ulamart,simple,,IN:::0 INR
226,Black Rice - Forbidden Rice - Karuppu Kavuni - Organic Rice - Kg : 0.5,,https://www.ulamart.com/black-rice-forbidden-rice-karuppu-kavuni-organic-rice-kg-0-5,New,INR 128,In Stock,,,,Ulamart,simple,,IN:::0 INR
227,Black Rice - Forbidden Rice - Karuppu Kavuni - Organic Rice - Kg : 1,,https://www.ulamart.com/black-rice-forbidden-rice-karuppu-kavuni-organic-rice-kg-1,New,INR 225,In Stock,,,,Ulamart,simple,,IN:::0 INR
228,Black Rice - Forbidden Rice - Karuppu Kavuni - Organic Rice - Kg : 2,,https://www.ulamart.com/black-rice-forbidden-rice-karuppu-kavuni-organic-rice-kg-2,New,INR 447,In Stock,,,,Ulamart,simple,,IN:::0 INR
229,Black Rice - Forbidden Rice - Karuppu Kavuni - Organic Rice - Kg : 5,,https://www.ulamart.com/black-rice-forbidden-rice-karuppu-kavuni-organic-rice-kg-5,New,INR 1108,In Stock,,,,Ulamart,simple,,IN:::0 INR
230,Black Rice - Forbidden Rice - Karuppu Kavuni - Organic Rice - Kg : 25,,https://www.ulamart.com/black-rice-forbidden-rice-karuppu-kavuni-organic-rice-kg-25,New,INR 5450,In Stock,,,,Ulamart,simple,,IN:::0 INR
231,Poongar Rice - ParBoiled - Hand Pounded -Organic Rice - Kg : 0.5,,https://www.ulamart.com/poongar-rice-parboiled-hand-pounded-organic-rice-kg-0-5,New,INR 58,In Stock,,,,Ulamart,simple,,IN:::0 INR
