0.5mm
1.1mm
1.8mm
"12.5"""
"12.75"""
"13.5"""
28 / 20
28/18
29/19
2e2.5
2xl
2xlg
30/20
31 / 26
31/21
32/22
33/23
33/24
34/24
34/25
a2xl
j
jr
l
lt
m
m**
md
menl
menm
mens
menxs
os
rht
s
sm
sm/ml
sr
wheelset
wl
wm
ws
wxl
wxs
wxxl
xl
xlg
xs
xxl
xxlg
xxs
yl
ym
ys
yxl
