"value_id","attribute_id","store_id","entity_id","value"
"119043","97","0","13280","vaughn-7500-straight-bar-cage"
"127625","97","0","14233","jackson-mystique-sz-2-used"
"131870","97","0","14748","westmount-pitching-tuff-toe"
"131880","97","0","14749","westmount-pitching-tuff-toe"
"134618","97","0","15031","bauer-nk22-kevlar-nectec-bib"
"134625","97","0","15032","itech-nk22-kevlar-nectec-bib"
"140717","97","0","15736","mondor-3301-footed-tight-l"
"142863","97","0","16005","softec-tri-grip-10-blk-plat"
"150889","97","0","16948","mondor-3302-boot-tight-6-8"
"156308","97","0","17548","gam-80-comet-figure-skate-used"
"158031","97","0","17767","figure-skate-risport-diam-used"
"161575","97","0","18177","figure-skate-sp-teri-550-used"
"169431","97","0","18992","figure-skate-risport-s-cr-used"
"175445","97","0","19649","easton-jr-synergy-500-shoulder"
"184338","97","0","20666","360-r5gs-pro-rugby-ball-sz-5"
"189623","97","0","21294","bauer-ng-wmns-comp-jill-short"
"189643","97","0","21297","bauer-ng-wmns-comp-jill-short"
"192123","97","0","21594","figure-skate-risport-diam-used"
"201528","97","0","22631","shock-dr-baseball-mouth-guard"
"206330","97","0","23187","bauer-ng-core-int-neck-ls-yth"
"206337","97","0","23188","bauer-ng-core-int-neck-ls-yth"
"212575","97","0","23879","mondor-3818-legging-xl"
"212582","97","0","23880","mondor-3818-legging-s"
"212589","97","0","23881","mondor-3818-legging-l"
"213564","97","0","23979","figure-skate-sp-teri-delu-used"
"214294","97","0","24066","bauer-ng-prem-int-neck-ls-yth"
"216983","97","0","24358","figure-skate-risport-nova-used"
"220247","97","0","24711","boot-only-wifa-super-gold-used"
"221452","97","0","24840","wifa-goldstar-figure-skate"
"224844","97","0","25243","softec-tri-grip-1-pink-wht"
"225921","97","0","25370","figure-skate-riedell-roya-used"
"226642","97","0","25428","bauer-vapor-x3-0-sz-y12d-used"
"229872","97","0","25791","don-jackson-figure-skate-used"
"233191","97","0","26157","figure-skate-riedell-375-used"
"233685","97","0","26217","figure-skate-risport-exce-used"
"233820","97","0","26233","bauer-sup-jr-skate-sz-3-used"
"234468","97","0","26312","figure-skate-riedell-roya-used"
"249490","97","0","28047","ccm-vector-6-0-sz-3d-used"
"251643","97","0","28282","rbk-5k-jr-blade-left"
"257002","97","0","28890","figure-skate-risport-nova-used"
"258343","97","0","29047","figure-skate-riedell-375-used"
"259333","97","0","29144","figure-skate-risport-sup-used"
"261606","97","0","29401","figure-skate-riedell-375-used"
"269561","97","0","30203","ravens-custom-nexus-jr-hp-xl-1"
