"entity_id","attribute_set_id","type_id","sku","has_options","required_options","created_at","updated_at","mst_search_weight"
"142187","4","simple","688698371437","0","0","2019-12-06 23:09:03","2021-04-29 22:57:44","0"
"142186","4","simple","688698371444","0","0","2019-12-06 23:08:59","2021-09-30 22:46:45","0"
"142185","4","simple","688698371451","0","0","2019-12-06 23:08:55","2021-09-30 22:46:35","0"
"131375","4","simple","688698371468","0","0","2019-06-04 21:20:15","2021-09-28 23:30:23","0"
"131377","4","simple","688698371475","0","0","2019-06-04 21:20:38","2021-10-13 22:34:47","0"
"131376","4","simple","688698371482","0","0","2019-06-04 21:20:30","2021-06-11 18:24:38","0"
"131378","4","simple","688698371499","0","0","2019-06-04 21:20:48","2021-07-23 17:36:00","0"
"131383","4","simple","688698371505","0","0","2019-06-04 21:21:47","2021-08-12 18:32:39","0"
"131382","4","simple","688698371512","0","0","2019-06-04 21:21:29","2021-06-11 18:24:58","0"
"131380","4","simple","688698371529","0","0","2019-06-04 21:21:27","2021-06-11 18:25:03","0"
"131386","4","simple","688698371536","0","0","2019-06-04 21:22:33","2021-06-11 18:25:14","0"
"131387","4","simple","688698371543","0","0","2019-06-04 21:22:40","2021-08-18 18:42:43","0"
"131385","4","simple","688698371550","0","0","2019-06-04 21:22:16","2021-06-11 18:25:24","0"
"131390","4","simple","688698371567","0","0","2019-06-04 21:23:20","2021-06-11 18:25:33","0"
"131395","4","simple","688698371598","0","0","2019-06-04 21:23:57","2021-06-11 18:25:42","0"
"131394","4","simple","688698371604","0","0","2019-06-04 21:23:57","2021-06-11 18:25:47","0"
"131392","4","simple","688698371611","0","0","2019-06-04 21:23:47","2021-06-11 18:25:51","0"
"131400","4","simple","688698371628","0","0","2019-06-04 21:24:45","2021-06-11 18:26:01","0"
"131560","4","simple","688698371635","0","0","2019-06-04 22:08:14","2021-06-11 18:26:06","0"
"131398","4","simple","688698371642","0","0","2019-06-04 21:24:37","2021-06-11 18:26:10","0"
"131404","4","simple","688698371659","0","0","2019-06-04 21:25:41","2021-08-28 23:25:10","0"
"131403","4","simple","688698371666","0","0","2019-06-04 21:25:16","2021-10-13 20:48:07","0"
"142123","4","simple","688698371680","0","0","2019-12-06 23:03:32","2021-10-30 15:00:57","0"
"142121","4","simple","688698371697","0","0","2019-12-06 23:03:28","2021-10-17 15:18:25","0"
"142119","4","simple","688698371703","0","0","2019-12-06 23:03:22","2021-09-30 20:15:26","0"
"131551","4","simple","688698371710","0","0","2019-06-04 22:05:37","2021-07-15 22:39:08","0"
"131474","4","simple","688698371727","0","0","2019-06-04 21:43:58","2021-09-15 22:40:42","0"
"131475","4","simple","688698371734","0","0","2019-06-04 21:44:08","2021-10-15 19:02:07","0"
"131550","4","simple","688698371741","0","0","2019-06-04 22:05:23","2021-06-11 18:14:06","0"
"153674","4","simple","688698371994","0","0","2021-03-29 21:59:56","2021-07-24 17:10:34","0"
"131239","4","simple","688698372441","0","0","2019-05-27 05:50:53","2021-06-23 19:37:37","0"
"131256","4","simple","688698372458","0","0","2019-05-27 05:53:31","2021-06-23 19:37:43","0"
"131243","4","simple","688698372465","0","0","2019-05-27 05:51:31","2021-09-18 20:31:39","0"
"131255","4","simple","688698372472","0","0","2019-05-27 05:53:24","2021-08-14 20:45:49","0"
"131252","4","simple","688698372489","0","0","2019-05-27 05:52:55","2021-06-23 19:38:05","0"
"131244","4","simple","688698372496","0","0","2019-05-27 05:51:38","2021-09-25 18:32:24","0"
"131249","4","simple","688698372502","0","0","2019-05-27 05:52:29","2021-09-03 17:58:36","0"
"131237","4","simple","688698372519","0","0","2019-05-27 05:50:37","2021-07-13 19:24:04","0"
"131245","4","simple","688698372526","0","0","2019-05-27 05:51:48","2021-06-23 19:38:38","0"
"131238","4","simple","688698372540","0","0","2019-05-27 05:50:45","2021-10-05 17:16:50","0"
"131253","4","simple","688698372571","0","0","2019-05-27 05:53:03","2021-06-23 19:38:54","0"
"131241","4","simple","688698372588","0","0","2019-05-27 05:51:14","2021-06-23 19:39:01","0"
"131254","4","simple","688698372595","0","0","2019-05-27 05:53:13","2021-08-11 08:09:29","0"
"131235","4","simple","688698372601","0","0","2019-05-27 05:50:17","2021-06-23 19:39:16","0"
"131250","4","simple","688698372618","0","0","2019-05-27 05:52:37","2021-09-03 17:58:44","0"
"131236","4","simple","688698372625","0","0","2019-05-27 05:50:27","2021-06-23 19:39:31","0"
"131251","4","simple","688698372632","0","0","2019-05-27 05:52:46","2021-07-08 21:13:56","0"
"131247","4","simple","688698372649","0","0","2019-05-27 05:52:11","2021-10-16 16:52:56","0"
"131242","4","simple","688698372656","0","0","2019-05-27 05:51:23","2021-10-23 18:57:52","0"
"131248","4","simple","688698372663","0","0","2019-05-27 05:52:21","2021-09-18 19:31:32","0"
"131240","4","simple","688698372670","0","0","2019-05-27 05:51:03","2021-06-23 19:40:09","0"
"131225","4","simple","688698372748","0","0","2019-05-27 05:48:17","2021-06-23 19:35:25","0"
"131220","4","simple","688698372755","0","0","2019-05-27 05:47:20","2021-06-23 19:35:32","0"
"131227","4","simple","688698372762","0","0","2019-05-27 05:48:38","2021-06-23 19:35:39","0"
"131230","4","simple","688698372779","0","0","2019-05-27 05:49:14","2021-06-23 19:35:46","0"
"131218","4","simple","688698372786","0","0","2019-05-27 05:47:00","2021-06-23 19:36:00","0"
"131219","4","simple","688698372793","0","0","2019-05-27 05:47:11","2021-06-23 19:36:08","0"
"131224","4","simple","688698372809","0","0","2019-05-27 05:48:07","2021-06-23 19:36:16","0"
"131229","4","simple","688698372816","0","0","2019-05-27 05:48:56","2021-06-23 19:36:24","0"
"131228","4","simple","688698372823","0","0","2019-05-27 05:48:45","2021-06-23 19:36:31","0"
"131231","4","simple","688698372830","0","0","2019-05-27 05:49:23","2021-06-23 19:36:38","0"
"131222","4","simple","688698372847","0","0","2019-05-27 05:47:39","2021-06-23 19:36:45","0"
"131221","4","simple","688698372854","0","0","2019-05-27 05:47:31","2021-06-23 19:36:53","0"
"131232","4","simple","688698372861","0","0","2019-05-27 05:49:32","2021-07-14 19:53:29","0"
"131233","4","simple","688698372878","0","0","2019-05-27 05:49:42","2021-08-27 20:01:44","0"
"131214","4","simple","688698373622","0","0","2019-05-27 05:46:11","2021-06-23 19:33:28","0"
"131216","4","simple","688698373639","0","0","2019-05-27 05:46:28","2021-10-01 20:28:30","0"
"131211","4","simple","688698373646","0","0","2019-05-27 05:45:46","2021-07-16 19:39:05","0"
"131206","4","simple","688698373653","0","0","2019-05-27 05:44:58","2021-06-23 19:33:41","0"
"131208","4","simple","688698373660","0","0","2019-05-27 05:45:21","2021-08-11 08:09:16","0"
"131209","4","simple","688698373677","0","0","2019-05-27 05:45:30","2021-06-23 19:33:55","0"
"131204","4","simple","688698373684","0","0","2019-05-27 05:44:40","2021-06-23 19:34:02","0"
"131205","4","simple","688698373691","0","0","2019-05-27 05:44:50","2021-06-23 19:34:10","0"
"131201","4","simple","688698373707","0","0","2019-05-27 05:44:16","2021-06-23 19:34:17","0"
"131212","4","simple","688698373714","0","0","2019-05-27 05:45:53","2021-06-23 19:34:25","0"
"131207","4","simple","688698373721","0","0","2019-05-27 05:45:10","2021-06-23 19:34:32","0"
"131213","4","simple","688698373738","0","0","2019-05-27 05:46:02","2021-06-23 19:34:39","0"
"131202","4","simple","688698373745","0","0","2019-05-27 05:44:26","2021-06-23 19:34:47","0"
"131210","4","simple","688698373752","0","0","2019-05-27 05:45:38","2021-06-23 19:34:54","0"
"131203","4","simple","688698373769","0","0","2019-05-27 05:44:32","2021-06-23 19:35:01","0"
"131215","4","simple","688698373776","0","0","2019-05-27 05:46:19","2021-06-23 19:35:09","0"
"131146","4","simple","688698373783","0","0","2019-05-27 05:34:14","2021-06-23 19:43:12","0"
"131165","4","simple","688698373790","0","0","2019-05-27 05:37:07","2021-06-23 19:40:32","0"
