"value_id","attribute_id","store_id","entity_id","value"
"139154","97","0","15534","bauer-totalone-nxg-y"
"160738","97","0","18069","mizuno-gxf92-12-5-glove"
"170591","97","0","19133","ua-6684-ultra-4-comp-short"
"228151","97","0","25607","ua-7617-tg-victory-tank"
"7832289","97","0","144113","miken-super-soft-msbft-13-5-slowpitch-first-base-glove"
"7918191","97","0","150954","easton-elite-runners-pair"
"7929612","97","0","152049","bauer-one80-pant-wmns"
"7956937","97","0","153928","bauer-totalone-nxg-jr"
