"attribute_id","entity_id","value","sku"
"97","91778","s17-sup-s190-hg-sr","1050853"
"97","91746","s17-sup-s190-hg-jr","1050854"
"97","91791","s17-sup-s150-hg-sr","1050859"
"97","72011","bauer-ignite-pro-s17-shin-jr","1050917"
"97","80681","s17-sup-ign-pro-sp-jr","1050947"
"97","80757","s17-sup-ign-pro-ep-sr","1050948"
"97","80755","s17-sup-ign-pro-ep-jr","1050950"
"97","90546","s17-sup-ign-pro-hg-sr","1050951"
"97","90544","s17-sup-ign-pro-hg-sr","1050951112"
"97","123607","bauer-s17-prodigy-3-0-trap-yth","1051233"
"97","123610","bauer-s17-prodigy-3-0-block-y","1051234"
"97","124273","s17-sup-1s-gr-sr","1051330"
"97","92630","bauer-pro-15-carry-bag-l","1051420"
"97","92625","bauer-850-wheel-bag-l","1051442"
"97","92587","bauer-650-wheel-hockey-bag","1051452"
"97","92613","bauer-650-wh-bag-s","1051458"
"97","92599","bauer-850-carry-bag-l","1051464"
"97","92603","bauer-850-carry-bag-m","1051467"
"97","92617","bauer-650-carry-bag-l","1051473"
"97","92583","bauer-650-carry-bag-m","1051476"
"97","153541","bauer-pro-10-backpack","1051488"
"97","92621","bauer-850-wheel-bag-gl","1052194"
"97","81143","s18-vapor-1x-lite-gr-sr","1052226"
"97","81091","s18-vapor-1x-lite-gr-int","1052229"
"97","81125","s18-vapor-1x-lite-gr-jr","1052231"
"97","81153","s18-vapor-x-900-lite-gr-sr","1052256"
"97","81148","s18-vapor-x-900-lite-gr-int","1052258"
"97","139055","bauer-rh-xr300-sr","1052318"
"97","90696","s18-v-ltx-pro-gr-sr-77","1052398"
"97","90764","s18-v-ltx-pro-gr-int-67","1052400"
"97","90716","s18-v-ltx-pro-gr-jr-50","1052401"
"97","90801","s18-v-ltx-gr-sr-87","1052402"
"97","90771","s18-v-ltx-gr-int-60","1052403"
"97","90651","s18-v-ltx-gr-jr-40","1052404"
"97","92640","s17-vap-pro-gl-carry-bag","1052435"
"97","92651","s17-vap-team-carry-bag-l","10524355"
"97","92644","s17-vap-team-carry-bag-m","10524356"
"97","71998","bauer-17-vap-x900-sr-glstk-p31","1052517"
"97","80672","s17-sup-ign-pro-sp-sr","1052578"
"97","80751","s17-sup-ign-pro-sp-jr","1052579"
"97","90872","s17-sup-ign-pro-sg-sr","1052580"
"97","72014","bauer-ignite-pro-s17-shin-jr","1052581"
"97","137073","huskie-reakt-95-combo","1052640"
"97","80957","bauer-profile-i-fm","1052690"
"97","115654","nexus-2n-pro-gr-sr","1052783"
"97","90644","nexus-2n-pro-gr-int","1052786"
"97","90814","nexus-2n-pro-gr-jr","1052801"
"97","90703","nexus-n2900-gr-jr","1052807"
"97","152472","nexus-2n-gr-sr","1052829"
"97","92494","nexus-2n-pro-gr-yth","1052831"
"97","90821","nexus-n2700-gr-jr","1052833"
"97","90838","s18-n-freeze-pro-gr-jr-50","1052873"
"97","90794","s18-n-freeze-pro-gr-sr-87","1052876"
"97","90751","s18-n-freeze-pro-gr-int-65","1052880"
"97","90843","s18-n-freeze-pro-gr-jr-40","1052882"
"97","153534","s18-n-freeze-pro-gr-int-65","1052931"
"97","90963","s18-ns-yth","1052947"
"97","90946","s18-ns-jr","1052948"
"97","90954","s18-ns-sr","1052949"
"97","91127","s18-supreme-s25-sr","1052951"
"97","90997","s18-sup-2s-jr","1052954"
"97","91119","s18-sup-s29-sr","1052955"
"97","91172","s18-sup-s29-jr","1052956"
"97","91010","s18-sup-2s-pro-jr","1052966"
"97","91075","s18-sup-s27-sr","1052970"
"97","91092","s18-sup-s27-yth","1052974"
"97","80664","s18-nsx-hp-jr","1052995"
"97","80654","s18-bauer-nsx-sp-jr","1052997"
"97","80656","s18-nexus-2n-sp-sr","1053000"
"97","140257","s18-vap-x900-lite-hp-sr","1053002"
"97","132390","s18-vap-x900-lite-hp-jr","1053004"
"97","80964","vapor-1x-lite-pro-hg-sr","1053010"
"97","90260","s18-vap-1x-lite-sp-jr","1053012"
"97","80764","s18-bauer-nsx-sp-sr","1053020"
"97","90861","s18-nexus-2n-sg-sr","1053022"
"97","90880","s18-nsx-sg-jr","1053024"
"97","90256","s18-vap-1x-lite-ep-jr","1053028"
"97","141415","s18-bauer-nsx-ep-sr","1053035"
"97","90272","s18-bauer-nsx-ep-jr","1053037"
"97","90863","s18-vapor-1x-lite-sg-sr","1053039"
"97","90875","s18-vapor-1x-lite-sg-jr","1053044"
"97","116619","vapor-1x-lite-hg-sr","1053049"
"97","92497","s18-v-ltx-pro-yth","1053052"
"97","91248","s18-nexus-2n-sr","1053055"
"97","91469","s18-nexus-2n-jr","1053056"
"97","90940","s18-nexus-n2900-sr","1053059"
"97","91202","s18-nexus-n2700-jr","1053065"
"97","91225","s18-nexus-n2700-sr","1053067"
"97","80962","vapor-1x-lite-hg-sr","1053071"
"97","90420","nexus-2n-hg-sr","1053082"
"97","90436","vapor-x900-lite-hg-sr","1053085"
"97","90309","nexus-n2900-hg-sr","1053086"
"97","90366","nexus-n2900-hg-sr","1053088"
"97","90345","vapor-x800-lite-hg-sr","1053089"
"97","91482","s18-nexus-freeze-pro-sr","1053101"
"97","91503","s18-nexus-freeze-pro-sr","1053102"
"97","80779","s18-sup-ign-jr","1053103"
"97","91601","s18-sup-ign-sr","1053104"
"97","91299","s18-sup-ign-pro-yth","1053105"
"97","91543","s18-sup-ign-pro-jr","1053113"
"97","91138","tuuk-ls5-edge-runner","1053125"
"97","91189","speed-plate-2-0","1053129"
"97","152650","vapor-x800-lite-hg-sr","1053133"
"97","151803","nsx-hg-sr","1053134"
"97","117996","vapor-1x-lite-hg-jr","1053135"
"97","90376","vapor-1x-lite-hg-jr","1053137"
"97","90520","vapor-x900-lite-hg-jr","1053138"
"97","90541","vapor-x800-lite-hg-jr","1053141"
"97","90502","vapor-x800-lite-hg-jr","1053142"
"97","124080","s18-supreme-neck-guard","1053235"
"97","131492","s19-bauer-elite-wh-bag-jr","1053284"
"97","131435","s19-bauer-prem-wh-bag-goal","1053290"
"97","131407","s19-bauer-prem-wh-bag-jr","1053345"
"97","131411","s19-bauer-core-wh-bag-sr","1053346"
"97","151716","wolves-bauer-flc-hdy","1053406"
"97","124069","wolves-bauer-core-yarn-yth","1053406WW"
"97","123633","huskies-bauer-flc-hood-yarn","1053408"
"97","90833","nsx-gr-jr","1053602"
"97","90848","nsx-gr-int","1053603"
"97","144858","bauer-rh-rsx-inline-jr","1053700"
"97","144864","bauer-hi-lo-chasis-complete","10537000"
"97","144852","bauer-rn-rsx-inline-sr","1053753"
"97","134126","s18-vap-xltx-pro-sg-sr","1054109"
"97","134394","s18-vap-xltx-pro-ep-sr","1054136"
"97","80660","s18-vap-xltx-pro-ep-jr","1054137"
"97","80674","s18-vap-xltx-pro-sp-sr","1054140"
"97","80738","s18-vap-xltx-pro-sp-jr","1054141"
"97","80619","s18-vap-xltx-pro-ep-jr","1054143"
"97","80745","s18-vap-xltx-pro-sp-jr","1054152"
"97","81233","s19-sup-2s-pro-gr-sr","1054175"
"97","81184","s19-sup-2s-pro-gr-jr","1054180"
"97","81246","s19-sup-2s-pro-gr-yth","1054204"
"97","151794","s19-sup-2s-gr-sr","1054207"
"97","81160","s19-sup-2s-gr-int","1054209"
"97","81253","s19-sup-2s-team-gr-int","1054215"
"97","81275","s19-sup-2steam-gr-jr","1054216"
"97","130903","s19-supreme-adv-gr-stk-sr","1054274"
"97","130868","s19-supreme-adv-gr-stk-int","1054276"
"97","131338","s19-bauer-ess-comp-jck-sh-sr","1054401"
"97","131321","s19-bauer-wmn-comp-jill-short","1054402"
"97","131504","s19-bauer-ess-ss-top-yth","1054404"
"97","131588","s19-bauer-pro-ls-top-sr","1054420"
"97","131621","s19-bauer-pro-comp-pnt-sr","1054425"
"97","131331","s19-bauer-girl-mesh-jill-short","1054426"
"97","131332","s19-bauer-wmn-mesh-jill-short","1054427"
"97","131789","s19-bauer-ess-comp-short-sr","1054429"
"97","131626","s19-bauer-ess-comp-pnt-yth","1054430"
"97","131367","s19-bauer-ess-comp-jck-sh-jr","1054431"
"97","131616","s19-bauer-ess-comp-jock-pnt-jr","1054432"
"97","131638","s19-bauer-ess-comp-jock-pnt-sr","1054433"
"97","131428","s19-bauer-ess-ss-top-sr","1054434"
"97","131681","s19-bauer-ess-ls-top-yth","1054435"
"97","131690","s19-bauer-ess-ls-top-sr","1054436"
"97","131602","s19-bauer-ls-neckprot-jr","1054437"
"97","131614","s19-bauer-ls-neckprot-sr","1054438"
"97","131630","s19-bauer-pro-comp-pnt-yth","1054439"
"97","131645","s19-bauer-wmns-comp-jill-pnt","1054440"
"97","131785","s19-bauer-ess-comp-pnt-sr","1054543"
"97","131665","s19-bauer-pro-lock-jock-pnt-sr","1054546"
"97","131416","s19-sup-2s-pro-shld-pad-sr","1054584"
"97","81050","bauer-flex-sock-sr","1054597"
"97","131680","s19-sup-2s-pro-glove-sr","1054614"
"97","131694","s19-sup-2s-glove-sr","1054615"
"97","151797","s19-sup-s29-glove-sr","1054616"
"97","152477","s19-sup-2s-pro-glove-jr","1054618"
"97","131719","s19-sup-2s-glove-jr","1054619"
"97","131727","s19-sup-s29-glove-jr","1054621"
"97","131508","s19-sup-2s-pro-shin-yth","1054626"
"97","131456","s19-sup-s29-shin-jr","1054628"
"97","131493","s19-sup-s29-shin-sr","1054632"
"97","131489","s19-sup-2s-shin-sr","1054633"
"97","131419","s19-sup-2s-shld-pad-sr","1054634"
"97","131433","s19-sup-s29-shld-pad-sr","1054635"
