1.5
2.5
3
3.5
4
4.5
5
5.5
6
7
8
8.5
9
9.5
10
11
11.75
12
13
14
15
16
72
84
96
108
120
130
0.5mm
1.1mm
1.8mm
"10"""
"11.75"""
12 1/2
"12.5"""
"12.75"""
"12"""
13 1/2
"13.5"""
"13"""
"14"""
"15"""
"16"""
28 / 20
28/18
29/19
2e2.5
2xl
2xlg
30/20
31 / 26
31/21
32/22
33/23
33/24
34/24
34/25
3xl
"8"""
a2xl
j
jr
l
lg
lt
m
m**
md
menl
menm
mens
menxs
os
rht
s
sm
sm/ml
sr
wheelset
wl
wm
ws
wxl
wxs
wxxl
xl
xlg
xs
xxl
xxlg
xxs
yl
ym
ys
yxl
